snapshot_at,id,name,city,province,status,message,updated_at,expected_reopen
2026-08-08T15:33:00.893Z,pe_kingscountymemorialh,Kings County Memorial Hospital,Montague,PE,closed,"Kings County Memorial Hospital's emergency department is closed. It will reopen Monday at 8 a.m.  For a life-threatening emergency, call 911.",2026-08-08 15:31:22,
2026-08-08T15:33:00.893Z,on_emohealthcentre,Emo Health Centre,Emo,ON,closed,Closed — opens Monday 09:00,2026-08-08 15:30:47,
2026-08-08T15:33:00.893Z,ns_rosewayhospital,Roseway Hospital,Shelburne,NS,closed,"Roseway Hospital emergency department will close at 3 p.m. on Friday, August 7 and will reopen on Tuesday, August 11 at 8 a.m. Virtual urgent care is open every day from 8 a.m. to 7 p.m., even when emergency department is closed.",2026-08-08 15:30:42,2026-08-11T11:00:00.000Z
2026-08-08T15:33:00.893Z,ns_allsaintsspringhillh,All Saints Springhill Hospital,Springhill,NS,closed,The All Saints Springhill Hospital Collaborative Emergency Centre (CEC) is temporarily closed. Virtual urgent care will be available onsite from 8 a.m. to 7 p.m. even when the CEC is closed.,2026-08-08 15:30:42,
2026-08-08T15:33:00.893Z,ns_glacebayhealthcarefa,Glace Bay Healthcare Facility,Glace Bay,NS,closed,Closed — opens Monday 07:00,2026-08-08 15:30:41,
2026-08-08T15:33:00.893Z,ns_easternmemorialhospi,Eastern Memorial Hospital,Canso,NS,closed,"The emergency department at Eastern Memorial Hospital in Canso is temporarily closed and will reopen on Monday, August 10 at 8 p.m. Virtual urgent care is available Thursday to Sunday from 8 a.m. to 6:45 p.m. Hours subject to change.",2026-08-08 15:30:40,2026-08-10T23:00:00.000Z
2026-08-08T15:33:00.893Z,ns_straitrichmondhospit,Strait Richmond Hospital,Cleveland,NS,closed,"Strait Richmond Hospital emergency department is temporarily closed and will reopen on Monday, August 10 at 8 a.m. Virtual urgent care is available onsite 8 a.m. to 3 p.m. Friday, August 7. Hours are subject to change.",2026-08-08 15:30:40,2026-08-10T11:00:00.000Z
2026-08-08T15:33:00.893Z,nl_baievertepeninsulahe,Baie Verte Peninsula Health Centre,Baie Verte,NL,disruption,,2026-08-08 15:30:37,
2026-08-08T15:33:00.893Z,nb_tobiquevalleycommuni,Tobique Valley Community Health Centre,Plaster Rock,NB,closed,Closed — opens Monday 08:00,2026-08-08 15:30:36,
2026-08-08T15:33:00.893Z,mb_teulonhuntermemorial,Teulon/Hunter Memorial Hospital,Teulon,MB,closed,Closed,2026-08-08 15:30:32,
2026-08-08T15:33:00.893Z,mb_pinawahospital,Pinawa Hospital,Pinawa,MB,closed,Closed — opens Monday 09:00,2026-08-08 15:30:30,
2026-08-08T15:33:00.893Z,mb_pinefallshospital,Pine Falls Hospital,Pine Falls,MB,closed,Closed — opens Sunday 08:00,2026-08-08 15:30:30,
2026-08-08T15:33:00.893Z,mb_glenborohealthdistri,Glenboro Health District Hospital,Glenboro,MB,closed,Closed — opens Tuesday 08:00,2026-08-08 15:30:28,
2026-08-08T15:33:00.893Z,mb_hamiotadistricthealt,Hamiota District Health Centre,Hamiota,MB,closed,Closed — opens Tuesday 08:00,2026-08-08 15:30:28,
2026-08-08T15:33:00.893Z,mb_delorainehealthcentr,Deloraine Health Centre,Deloraine,MB,closed,Closed — opens Monday 00:00,2026-08-08 15:30:27,
2026-08-08T15:33:00.893Z,mb_elizabethmcrowememor,Elizabeth m. Crowe Memorial Hospital,Eriksdale,MB,closed,Closed — opens Monday 09:00,2026-08-08 15:30:27,
2026-08-08T15:33:00.893Z,mb_arborganddistrictshe,Arborg and Districts Health Centre,Arborg,MB,closed,Closed,2026-08-08 15:30:26,
2026-08-08T15:33:00.893Z,bc_nicolavalleyhealthce,Nicola Valley Health Centre,Merritt,BC,closed,,2026-08-08 15:30:21,
2026-08-08T15:33:00.893Z,ab_tofieldhealthcentre,Tofield Health Centre,Tofield,AB,disruption,"Monday, Tuesday, Wednesday, Thursday ED will be closed from 2000 to 0800. 24/7 Emergency coverage supported by Locums on weekends - Starting Fridays 0800 ends Mondays 2000. Nursing staff remain on-site. No impact to in-patient unit(s). August 4 (8 pm) - August 5 (8 am), August 5 (8 pm) - August 6 (8 am), August 6 (8 pm) - August 7 (8 am), August 10 (8 pm) - August 11 (8 am), August 11 (8 pm) - August 12 (8 am), August 12 (8 pm) - August 13 (8 am), August 13 (8 pm) - August 14 (8 am), August 17…",2026-08-08 15:30:15,
2026-08-08T15:33:00.893Z,ab_twohillshealthcentre,Two Hills Health Centre,Two Hills,AB,disruption,No Locum available to cover the weekend. VEP will be available and nursing staff remain on site. Inpatients and Residents in Continuing Care will be cared for by local Physician August 7 (5pm) - August 10 (8 am). (Due to clinical personnel shortage),2026-08-08 15:30:15,
2026-08-08T15:33:00.893Z,ab_hintonhealthcarecent,Hinton Healthcare Centre,Hinton,AB,disruption,"Emergency Department closed, nursing staff remain on site. August 1 (9 pm) - August 2 (7 am), August 2 (9 pm) - August 3 (7 am), August 5 (9 pm) - August 6 (7 am), August 6 (9 pm) - August 7 (7 am), August 10 (9 pm) - August 11 (7 am), August 11 (3 pm) - August 12 (7 am), August 12 (3 pm) - August 13 (7 am), August 13 (3 pm) - August 14 (7 am), August 14 (3 pm) - August 15 (7 am), August 15 (9 pm) - August 16 (7 am), August 16 (9 pm) - August 17 (7 am), August 17 (9 pm) - August 18 (7 am), Augu…",2026-08-08 15:30:10,
2026-08-08T15:33:00.893Z,ab_grimshawberwynanddis,Grimshaw / Berwyn and District Community Health Centre,Grimshaw,AB,disruption,Emergency Department closed from 2100-0900 daily (Due to clinical personnel shortage),2026-08-08 15:30:09,
2026-08-08T15:33:00.893Z,ab_hardistyhealthcentre,Hardisty Health Centre,Hardisty,AB,closed,"Emergency department closed Fridays, Saturdays and Sundays. Nursing staff remain on site, starting December 5 (7am) (Due to clinical personnel shortage)",2026-08-08 15:30:09,
2026-08-08T15:33:00.893Z,ab_consorthospital,Consort Hospital,Consort,AB,closed,"Emergency department closed since August 2022 due to staffing shortages. During weekday daytime hours, nursing staff assess and redirect patients to surrounding emergency departments (e.g. Coronation). Call 911 for emergencies.",2026-08-08 15:30:06,
2026-08-08T15:33:00.893Z,on_queenswayhealthcentr,Trillium Health Partners - Queensway Health Centre,Toronto,ON,closed,Outside operating hours,2026-08-08 15:30:05,
2026-08-08T15:33:00.893Z,ab_bowislandhealthcentr,Bow Island Health Centre,Bow Island,AB,disruption,Adjusted hours of operation: - Open Tuesday 0800 – 2000 - Open Wednesday 0800 – 2000 - Open Thursday 0800 – 2000 - Open 24 hours per day starting Fridays at 0700 through to Mondays at 2000 (Due to clinical personnel shortage),2026-08-08 15:30:04,
2026-08-08T15:33:00.893Z,ab_boylehealthcarecentr,Boyle Healthcare Centre,Boyle,AB,disruption,Temporary reduction in Emergency Department operation to 12 hours daily (closed from 2100 - 0900); 4/4 treatment spaces. (Due to clinical personnel shortage),2026-08-08 15:30:04,
2026-08-08T15:33:00.893Z,ab_beaverlodgemunicipal,Beaverlodge Municipal Hospital,Beaverlodge,AB,disruption,"Emergency Department Service Disruption - No physician available on-site. Nursing staff remain on site for triage and supported by Virtual Physician for appropriate patients.EMS to patch ahead to discuss patient appropriate destination with Care Team. July 14 (8 pm) - July 15 (8 am), July 16 (8 pm) - July 17 (8 am), July 21 (8 pm) - July 22 (8 pm),July 23 (8 pm) - July 24 (8 am), July 29 (8 am - 8 pm), July 31 (8 am) - August 1 (8 am) (Due to clinical personnel shortage)",2026-08-08 15:30:03,
2026-08-08T15:33:00.893Z,ab_athabascahealthcarec,Athabasca Healthcare Centre,Athabasca,AB,disruption,"No physician on site, nursing staff remain on site. VEP program engaged as available. August 3 (6 pm) - August 4 (6 am), August 4 (6 pm) - August 5 (6 am), August 5 (6 pm) - August 6 (6 am), August 23 (6 pm) - August 24 (6 am). (Due to clinical personnel shortage)",2026-08-08 15:30:02,
2026-08-08T15:33:00.893Z,bc_missionmemorialhospi,Mission Memorial Hospital,Mission,BC,disruption,"Friday, August 7 to Sunday, August 9 nights; Friday, August 14 night; Sunday, August 16 night; Friday, August 21 to Sunday, August 23 nights; Friday, August 28 to Sunday, August 30 nights; Friday, September 4 to Sunday, September 6 nights; Saturday, September 12 and Sunday, September 13 nights",2026-08-08 15:26:37,
2026-08-08T15:33:00.893Z,nl_drykjeonkittiwakehe,Dr. Y. K. Jeon Kittiwake Health Centre,Wesleyville,NL,disruption,Virtual ER physician support,2026-08-08 15:26:35,
2026-08-08T15:33:00.893Z,bc_fraserlakecommunity,Fraser Lake Community Health Centre,Fraser Lake,BC,closed,Closed — opens Monday 08:30,2026-08-08 15:26:35,
